artist,track,msPlayed
13th Floor Elevators,Reverberation (Doubt) [2008 Remastered Original Mono LP Version],163720
13th Floor Elevators,Slip Inside This House - Mono LP Version,471382
13th Floor Elevators,Slip Inside This House - Stereo LP Version,482278
13th Floor Elevators,Through the Rhythm (2008 Remastered Original Mono LP Version),187546
13th Floor Elevators,You're Gonna Miss Me (2008 Remastered Original Mono LP Version),146737
35007,0618,253266
35007,2225,133030
35007,Cosmic Messanger,829
35007,Evaporate,1283
35007,Herd,344693
35007,Locker,1156
35007,Sea of Tranquillity,872
35007,Soulmachine,240440
35007,The Elephant Song,294000
35007,Tsunami,4830
35007,U:MU:M'NU,3055
35007,Undo,19756
35007,Vein,291106
35007,Water,354600
35007,Zandbank,3244
38 Special,Caught Up In You,96666
? & The Mysterians,96 Tears,4721
A Tribe Called Quest,Excursions,2768
A Winged Victory for the Sullen,The Haunted Victorian Pencil,9444
A.C. Reed,These Blues Is Killing Me,857
AKUL,Body Moves,453
Abdelkebir Amlil,Solo Guembri,29400
Ablaye Cissoko,Bamaya,153920
Adam Beyer,Simulator,771
Adrian Belew,Big Electric Cat,292093
Aerosmith,Angel,7730
Aerosmith,Eat The Rich,25750
Aerosmith,F.I.N.E.,13918
Aerosmith,Hole In My Soul,1825
Aerosmith,Let The Music Do The Talking,227040
Aerosmith,Mama Kin,269190
Aerosmith,Nine Lives,25291
Aerosmith,One Way Street,20201
Aerosmith,Sweet Emotion,274088
Aerosmith,Train Kept a Rollin',234764
Aerosmith,Walk This Way,220310
Aerosmith,Water Song/Janie's Got A Gun,14295
AfroCubism,Djelimady Rumba,190986
Ahmad Jamal Quintet,Ahmad's Waltz,285053
Ahmed Malek,Maya,156000
Ahmed Malek,Tikjda,162540
Air,Alpha Beta Gaga,1106
Air,Kelly Watch the Stars,2799
Al Di Meola,Flight Over Rio,436600
Al Di Meola,Mediterranean Sundance,312026
Al Di Meola,"Mediterranean Sundance / Rio Ancho - Live at Warfield Theatre, San Francisco, CA - December 5, 1980",691306
Al Di Meola,Race With Devil On Spanish Highway,375266
Al Di Meola,The Wizard,243335
Al Green,I'm a Ram,15971
Al Green,Take Me to the River,225373
Al Kooper,"I Wonder Who - Live at Bill Graham's Fillmore Auditorium, San Francisco, CA - September 1968",361906
Albert Ayler,Sun Watcher,450493
Albert King,Born Under A Bad Sign - Mono Mix,19060
Alejandro Escovedo,Broken Bottle,872
Alejandro Escovedo,California Blues,866
Alena Cherny,Gnossienne No. 1,296480
Alexandre Desplat,Mr. Moustafa,148959
Alexis Korner's Blues Incorporated,Rain Is Such a Lonesome Sound,5358
Alexis Korner's Blues Incorporated,Rain Is Such a Lonesome Sound - Remastered,169177
Ali Farka Touré,Bonde (with Ry Cooder),328826
Alice Coltrane,Journey In Satchidananda,396066
Alice Coltrane,Turiya & Ramakrishna,3837
Alice In Chains,Got Me Wrong,2332
Alice In Chains,"No Excuses - Live at the Majestic Theatre, Brooklyn, NY - April 1996",76224
Alice In Chains,Would? (2022 Remaster),206773
Allah-Las,501-415,103360
Allah-Las,Blackberry Jam,184626
Allah-Las,Busman's Holiday,207582
Allah-Las,Catamaran,212986
Allah-Las,Come On,11512
Allah-Las,De Vida Voz,151306
Allah-Las,Don't You Forget It,184789
Allah-Las,Ela Navega,234508
Allah-Las,Electricity,178511
Allah-Las,Ferus Gallery,215973
Allah-Las,Had It All,160520
Allah-Las,Holding Pattern,248139
Allah-Las,I Cannot Lie,182613
Allah-Las,Long Journey,192470
Allah-Las,No Voodoo,181202
Allah-Las,No Werewolf,148026
Allah-Las,Place in the Sun,187320
Allah-Las,Polar Onion,166364
Allah-Las,Raspberry Jam,21313
Allah-Las,Recurring,97084
Allah-Las,Roco Ono,242489
Allah-Las,Sacred Sands,405347
Allah-Las,Sandy,164160
Allah-Las,Stoned,155675
Allah-Las,Strange Heat,145346
Allah-Las,Tell Me (What's on Your Mind),50725
Allah-Las,Terra Ignota,205533
Allah-Las,Yemeni Jade,158760
Allman Brothers Band,Ain't Wastin' Time No More,38400
Allman Brothers Band,Blue Sky,311703
Allman Brothers Band,Don't Keep Me Wonderin',1400
Allman Brothers Band,In Memory Of Elizabeth Reed,419093
Allman Brothers Band,Jessica,451160
Allman Brothers Band,Little Martha,127746
Allman Brothers Band,Midnight Rider,180066
Allman Brothers Band,Revival,246253
Alphaville,Forever Young,0
Amadou & Mariam,Senegal Fast Food,56746
Amanaz,Easy Street,15433
Amanaz,Green Apple,230979
Amanaz,I Am Very Far,35199
Amanaz,Khala My Friend,200933
Amar Ezzahi,Esmeralda - Instrumental,56690
Amazingblaze,Can't Stop,5653
Ambrosia,Holdin' on to Yesterday,15450
America,A Horse with No Name,252239
America,Lonely People,150226
America,Sister Golden Hair,199573
