artist,track,msPlayed,track_id,flag
13th Floor Elevators,Reverberation (Doubt) [2008 Remastered Original Mono LP Version],163720,3rQAnI7nIAXNFcK4jYIAc7,1
13th Floor Elevators,Slip Inside This House - Mono LP Version,471382,75M1vS0AvZtLXbKLBllbvn,1
13th Floor Elevators,Slip Inside This House - Stereo LP Version,482278,4GVRHAwABAV0v63YX9Go0p,1
13th Floor Elevators,Through the Rhythm (2008 Remastered Original Mono LP Version),187546,2WazJsXu1aDQKR88CMt41T,1
13th Floor Elevators,You're Gonna Miss Me (2008 Remastered Original Mono LP Version),146737,34miSNKQ0xN7EG8zzzaFzI,1
35007,0618,253266,2AcKnehihCFvnzXtr89qxZ,1
35007,2225,133030,58xdZzSTNgap8a7CEckA9b,1
35007,Cosmic Messanger,829,4WJpypk3UiailZud24UNXn,1
35007,Evaporate,1283,3KmM9GEunX8IGyup6rne2z,1
35007,Herd,344693,534muzSD9kzdBx88meLIIn,1
35007,Locker,1156,7hunNxZ4Hmo10sNzHEBYpb,1
35007,Sea of Tranquillity,872,352NbWbBNUrxl9iHIDDIgw,1
35007,Soulmachine,240440,2JITkpLYlbmPy8mxmtQ1IV,1
35007,The Elephant Song,294000,24ENYWfpbnIOGKDW11pXCJ,1
35007,Tsunami,4830,1b36X0zHPAnmSZdwc8ojrM,1
35007,U:MU:M'NU,3055,56xKo9ASmUY6QXknGwjLji,1
35007,Undo,19756,5lJjV8yc5jMkOSdrb01B7C,1
35007,Vein,291106,5HOyIyLZYjVIM34gH5hNVO,1
35007,Water,354600,7vjaYUpr3xCbOMrJHTX6MF,1
35007,Zandbank,3244,40MEQlSdAltO6hzrMU5dOB,1
38 Special,Caught Up In You,96666,3jYRpwbctfqB77uU7T7K3U,10
? & The Mysterians,96 Tears,4721,4PEeZ2U4UfP2Jo8EtIOjus,10
A Tribe Called Quest,Excursions,2768,4tEaytMs86hIaOSsiGoLcP,1
A Winged Victory for the Sullen,The Haunted Victorian Pencil,9444,1onuiNSXonc5vOJU9igdFk,4
A.C. Reed,These Blues Is Killing Me,857,3fbvQBhBUcXGipdJEdgVzg,7
AKUL,Body Moves,453,3HElnqCMclL5DG1kDs3c5C,2
Abdelkebir Amlil,Solo Guembri,29400,1ZXkMG7UhgZ3SUE6MdyGlS,1
Ablaye Cissoko,Bamaya,153920,0th5Fm05MRhxcxInc9vbPP,1
Adam Beyer,Simulator,771,4VosqOFgprZKZz3EeDOdMA,3
Adrian Belew,Big Electric Cat,292093,7CchkPNN0Hgl7q9GXPdser,2
Aerosmith,Angel,7730,3kfXUGIdBNpyr2gBvU3Guj,10
Aerosmith,Eat The Rich,25750,3O7LU72UPGoCzrOFU6LqGd,5
Aerosmith,F.I.N.E.,13918,2Dw17OjuW3d6PscCqf6D1I,2
Aerosmith,Hole In My Soul,1825,7ornLs8NlxZ95IDWTyBIEj,2
Aerosmith,Let The Music Do The Talking,227040,2oUp3nS5lhoHZsoaLaKdRa,3
Aerosmith,Mama Kin,269190,6Qs5u9Tqh1rm1ljdr1ckhw,9
Aerosmith,Nine Lives,25291,1baMSM7DZXYKVTHyxnYgzd,2
Aerosmith,One Way Street,20201,06ql7n0Wz0QLSFb9hWF3v1,2
Aerosmith,Sweet Emotion,274088,73TxYZd0lBCVRrHawrAglA,10
Aerosmith,Train Kept a Rollin',234764,6zb4VGZE20uKHc0mydFgR5,10
Aerosmith,Walk This Way,220310,4JfuiOWlWCkjP6OKurHjSn,10
Aerosmith,Water Song/Janie's Got A Gun,14295,5XPDEg7yZT893Ocru6IEph,3
AfroCubism,Djelimady Rumba,190986,7g15ztA2cc9wAkxlRfQSGB,2
Ahmad Jamal Quintet,Ahmad's Waltz,285053,0gsYgVbWazYtS8Xi0LqxiI,2
Ahmed Malek,Maya,156000,7JTuEIBZuE356hMGiF8Yy9,1
Ahmed Malek,Tikjda,162540,1vmNel5vOFkhnTKD3rBQLd,1
Air,Alpha Beta Gaga,1106,2sNGaLOMBIkyVFPsQqPQdW,9
Air,Kelly Watch the Stars,2799,5tR13oIwi5J3elcTZPTTIU,10
Al Di Meola,Flight Over Rio,436600,2BiueR07VGUbxGTjp9q9fA,2
Al Di Meola,Mediterranean Sundance,312026,0og2U8tsBAR7NJysRR6uBU,8
