artist,track,msPlayed,track_id,flag
13th Floor Elevators,Reverberation (Doubt) [2008 Remastered Original Mono LP Version],163720,3rQAnI7nIAXNFcK4jYIAc7,a
13th Floor Elevators,Slip Inside This House - Mono LP Version,471382,75M1vS0AvZtLXbKLBllbvn,a
13th Floor Elevators,Slip Inside This House - Stereo LP Version,482278,4GVRHAwABAV0v63YX9Go0p,a
13th Floor Elevators,Through the Rhythm (2008 Remastered Original Mono LP Version),187546,2WazJsXu1aDQKR88CMt41T,a
13th Floor Elevators,You're Gonna Miss Me (2008 Remastered Original Mono LP Version),146737,34miSNKQ0xN7EG8zzzaFzI,a
35007,0618,253266,2AcKnehihCFvnzXtr89qxZ,a
35007,2225,133030,58xdZzSTNgap8a7CEckA9b,a
35007,Cosmic Messanger,829,4WJpypk3UiailZud24UNXn,a
35007,Evaporate,1283,3KmM9GEunX8IGyup6rne2z,a
35007,Herd,344693,534muzSD9kzdBx88meLIIn,a
35007,Locker,1156,7hunNxZ4Hmo10sNzHEBYpb,a
35007,Sea of Tranquillity,872,352NbWbBNUrxl9iHIDDIgw,a
35007,Soulmachine,240440,2JITkpLYlbmPy8mxmtQ1IV,a
35007,The Elephant Song,294000,24ENYWfpbnIOGKDW11pXCJ,a
35007,Tsunami,4830,1b36X0zHPAnmSZdwc8ojrM,a
35007,U:MU:M'NU,3055,56xKo9ASmUY6QXknGwjLji,a
35007,Undo,19756,5lJjV8yc5jMkOSdrb01B7C,a
35007,Vein,291106,5HOyIyLZYjVIM34gH5hNVO,a
35007,Water,354600,7vjaYUpr3xCbOMrJHTX6MF,a
35007,Zandbank,3244,40MEQlSdAltO6hzrMU5dOB,a
38 Special,Caught Up In You,96666,3jYRpwbctfqB77uU7T7K3U,a
? & The Mysterians,96 Tears,4721,4GmThbRBi1z9UafB97MWrP,a
A Tribe Called Quest,Excursions,2768,4tEaytMs86hIaOSsiGoLcP,a
A Winged Victory for the Sullen,The Haunted Victorian Pencil,9444,1onuiNSXonc5vOJU9igdFk,a
A.C. Reed,These Blues Is Killing Me,857,3fbvQBhBUcXGipdJEdgVzg,a
AKUL,Body Moves,453,3HElnqCMclL5DG1kDs3c5C,a
Abdelkebir Amlil,Solo Guembri,29400,1ZXkMG7UhgZ3SUE6MdyGlS,a
Ablaye Cissoko,Bamaya,153920,4FtKp4Nz1iFSAL3z6GF36h,a
Adam Beyer,Simulator,771,4VosqOFgprZKZz3EeDOdMA,a
Adrian Belew,Big Electric Cat,292093,7CchkPNN0Hgl7q9GXPdser,a
Aerosmith,Angel,7730,3kfXUGIdBNpyr2gBvU3Guj,a
Aerosmith,Eat The Rich,25750,3O7LU72UPGoCzrOFU6LqGd,a
Aerosmith,F.I.N.E.,13918,2Dw17OjuW3d6PscCqf6D1I,a
Aerosmith,Hole In My Soul,1825,7ornLs8NlxZ95IDWTyBIEj,a
Aerosmith,Let The Music Do The Talking,227040,2oUp3nS5lhoHZsoaLaKdRa,a
Aerosmith,Mama Kin,269190,6Qs5u9Tqh1rm1ljdr1ckhw,a
Aerosmith,Nine Lives,25291,1baMSM7DZXYKVTHyxnYgzd,a
Aerosmith,One Way Street,20201,06ql7n0Wz0QLSFb9hWF3v1,a
Aerosmith,Sweet Emotion,274088,73TxYZd0lBCVRrHawrAglA,a
Aerosmith,Train Kept a Rollin',234764,6zb4VGZE20uKHc0mydFgR5,a
Aerosmith,Walk This Way,220310,4JfuiOWlWCkjP6OKurHjSn,a
Aerosmith,Water Song/Janie's Got A Gun,14295,5XPDEg7yZT893Ocru6IEph,a
AfroCubism,Djelimady Rumba,190986,1WJo4MAgPbVXWhzuKscdI4,a
Ahmad Jamal Quintet,Ahmad's Waltz,285053,0gsYgVbWazYtS8Xi0LqxiI,a
Ahmed Malek,Maya,156000,7JTuEIBZuE356hMGiF8Yy9,a
Ahmed Malek,Tikjda,162540,1vmNel5vOFkhnTKD3rBQLd,a
Air,Alpha Beta Gaga,1106,2sNGaLOMBIkyVFPsQqPQdW,a
Air,Kelly Watch the Stars,2799,5tR13oIwi5J3elcTZPTTIU,a
Al Di Meola,Flight Over Rio,436600,2BiueR07VGUbxGTjp9q9fA,a
Al Di Meola,Mediterranean Sundance,312026,7lflARLzeb71KjdYPU7CFt,a
Al Di Meola,"Mediterranean Sundance / Rio Ancho - Live at Warfield Theatre, San Francisco, CA - December 5, 1980",691306,0og2U8tsBAR7NJysRR6uBU,a
Al Di Meola,Race With Devil On Spanish Highway,375266,3cN6SCEZGNx8Qm5WrLJtRs,a
Al Di Meola,The Wizard,243335,049LYvMmtkeEs4WxP7MPXa,a
Al Green,I'm a Ram,15971,6QbcnA5zCrjiZIUBzAP4nY,a
Al Green,Take Me to the River,225373,62r1CS9zL1FL5Ilb7hLX7n,a
Al Kooper,"I Wonder Who - Live at Bill Graham's Fillmore Auditorium, San Francisco, CA - September 1968",361906,5i8VtEaiM2mvKxYdNVRDYz,a
Albert Ayler,Sun Watcher,450493,3IxH7ev4l6GyvDNC0Vfed0,a
Albert King,Born Under A Bad Sign - Mono Mix,19060,3ocm1Cf1Dk1ODrdBdybh82,a
Alejandro Escovedo,Broken Bottle,872,0bABDxIb6DOdOEYFNZJ12e,a
Alejandro Escovedo,California Blues,866,1VGkni5F5SNTj9Cwc1X0Oj,a
Alena Cherny,Gnossienne No. 1,296480,6fA0ItjPMuHOlmkeVpwU2w,a
Alexandre Desplat,Mr. Moustafa,148959,1uNhvxpkPrNHUNfeclo6xD,a
Alexis Korner's Blues Incorporated,Rain Is Such a Lonesome Sound,5358,3NtLubhkmsY3jIoTz0YntT,a
Alexis Korner's Blues Incorporated,Rain Is Such a Lonesome Sound - Remastered,169177,37lgjBs48GLh6qJm6vqVrl,a
Ali Farka Touré,Bonde (with Ry Cooder),328826,28HE2hcTggk9F46G9Ra6PY,a
Alice Coltrane,Journey In Satchidananda,396066,2gG3ivmsfylVXLyIJvLXyN,a
Alice Coltrane,Turiya & Ramakrishna,3837,4DVu7YgHVJaeN0C7HNpy2q,a
Alice In Chains,Got Me Wrong,2332,2lBqGHtGLD5FGeJJYNKbGS,a
Alice In Chains,"No Excuses - Live at the Majestic Theatre, Brooklyn, NY - April 1996",76224,1DfOxEiYPhQlN2D1arscnN,a
Alice In Chains,Would? (2022 Remaster),206773,5sFDReWLrZHLFZFjHsjUTS,a
Allah-Las,501-415,103360,6kgbwG1S7U25YEjvcyr5oh,a
Allah-Las,Blackberry Jam,184626,1Ih6ocXfN7ZcrPM3pfYpvm,a
Allah-Las,Busman's Holiday,207582,4ut69OC6WaDcjxkTELBzmn,a
Allah-Las,Catamaran,212986,4H0KLsPpr5atperrHGfz3x,a
Allah-Las,Come On,11512,6hJ0B8RK1SLDBndTNy8wH6,a
Allah-Las,De Vida Voz,151306,3ODhl3IaGflXhzPZxh0pw0,a
Allah-Las,Don't You Forget It,184789,3niZUlDdEFvir3HKdgdhsC,a
Allah-Las,Ela Navega,234508,44GnisrXgtKEOH6KLEelOE,a
Allah-Las,Electricity,178511,5xRSmMl5XrMbeD5RSYd6ji,a
Allah-Las,Ferus Gallery,215973,2mAAhfG6s4OeBHnF5zzmpJ,a
Allah-Las,Had It All,160520,0whaZcUAsD4bokr3rEIxKO,a
Allah-Las,Holding Pattern,248139,3AgP1bWrMhphrYOWxDe8iz,a
Allah-Las,I Cannot Lie,182613,0l99o9jqYBg6AcZf0dw3UQ,a
Allah-Las,Long Journey,192470,3pigtvcshaUmvE08zuPU7X,a
Allah-Las,No Voodoo,181202,6iQujnOEV2WU5MR1CkIeOD,a
Allah-Las,No Werewolf,148026,5wpxEEtz1BuF0a36Rf1k5T,a
