artist,track,msPlayed,track_id,flag
Bibi Rezende,Stairway to Dogs,88775,x,x
CAN,Millionenspiel,55061,x,x
Cedric Harriman,Introduccion,816,x,x
Cheb Tahar,KoL Lyoum Nargad Maah,23625,x,x
Derek & The Dominos,Got To Get Better In A Little While - Live At Fillmore East,830666,x,x
Donovan,Barabajagal (with Jeff Beck Group),200093,x,x
Genesis,After The Ordeal - Remastered 2008,255040,x,x
Genesis,Aisle Of Plenty - Remastered 2008,118186,x,x
Genesis,Dancing With The Moonlit Knight - Remastered 2008,483053,x,x
Genesis,Firth Of Fifth - Remastered 2008,574840,x,x
Genesis,Harold The Barrel - Digital Remastered 2008,10128,x,x
Genesis,Home By The Sea - Remastered 2007,307800,x,x
Genesis,Horizons - Digital Remastered 2008,37721,x,x
Genesis,The Cinema Show - Remastered 2008,1238,x,x
Genesis,The Musical Box - Remastered 2008,2610,x,x
Genesis,The Return Of The Giant Hogweed - Digital Remastered 2008,489480,x,x
Genesis,Time Table - Digital Remastered 2008,286360,x,x
Genesis,Turn It On Again - Remastered 2007,232040,x,x
Genesis,White Mountain - Remastered 2008,2271,x,x
Gerd Baumann,Ora et amora,48826,x,x
Gerry Temple,Jam Jar,333855,x,x
Irmin Schmidt,Rote Erde - Titel Musik,252280,x,x
Karine Upli,Luck,33983,x,x
Kraftwerk,Geigerzähler - 2009 Remaster,18563,x,x
Kristie DeLuca,Make Me High,1878,x,x
Michael Rother,Karussell,18850,x,x
Mick Jagger,If Things Could Be Different,289466,x,x
Mossalux,Peingzhu,43352,x,x
Neil Young,Harvest Moon,48895,x,x
Nick Drake,' Cello Song,1567,x,x
Nina Simone,My Baby Just Cares for Me - 2013 Remastered Version,197166,x,x
Ride,Leave Them All Behind - 2001 Remaster,2601,x,x
Salif Keita,San Ka Na,29728,x,x
The Guardians of Health,Sand dune coccoon,191632,x,x
The Kinks,Dead End Street - Mono Mix,200531,x,x
The Kinks,The Contenders - 2014 Remastered Version,163320,x,x
The Kinks,Victoria - Mono Mix,220053,x,x
The Yardbirds,Over Under Sideways Down (Stereo Version) - Remastered,143520,x,x
Torian Wegener,Loop,132990,x,x
Ultimate Spinach,Baroque Dances,165041,x,x
Urbxnxd,Coyote,47270,x,x
Yusef Lateef,Don't Blame Me - Rudy Van Gelder Remaster,84711,x,x
