artist,track,msPlayed,track_id,flag
Bibi Rezende,Stairway to Dogs,88775,x,0
Black Sabbath,Hand of Doom (2009 - Remaster),35899,x,0
Black Sabbath,Laguna Sunrise (2009 - Remaster),170533,x,0
Black Sabbath,Orchid (2009 - Remaster),91040,x,0
Black Sabbath,Paranoid (2009 - Remaster),80247,x,0
Black Sabbath,Rat Salad (2009 - Remaster),72963,x,0
Black Sabbath,War Pigs (2009 - Remaster),8620,x,0
Bo Diddley,Everybody Needs Somebody - Live,33031,x,0
Bo Diddley,The Great Grandfather - Live,15194,x,0
Brian Eno,Very Very Hungry - 2006 Digital Remaster,201160,x,0
Captain Beefheart & His Magic Band,Observatory Crest,212906,x,0
Cedric Harriman,Introduccion,816,x,0
Cheb Tahar,KoL Lyoum Nargad Maah,23625,x,0
"Crosby, Stills, Nash & Young",Ohio,264666,x,0
"Crosby, Stills, Nash & Young",Woodstock,104880,x,0
David Gilmour,There's No Way out of Here - 2006 Remaster,2655,x,0
Deep Purple,And the Address - 2000 Remaster,278866,x,0
Deep Purple,Black Night - 1995 Remaster,122601,x,0
Deep Purple,Demon's Eye - 1996 Remaster,87857,x,0
Deep Purple,Drifter - 2010 Digital Remaster,243853,x,0
Deep Purple,Fireball - 1996 Remaster,17010,x,0
Deep Purple,Highway Star - Remastered 2012,366136,x,0
Deep Purple,Hush - 1998 Remaster,266840,x,0
Deep Purple,Into the Fire - 1995 Remaster,209200,x,0
Deep Purple,Lazy - Remastered 2012,442840,x,0
Deep Purple,Living Wreck - 1995 Remaster,272280,x,0
Deep Purple,One More Rainy Day - 2000 Remaster,220453,x,0
Deep Purple,Place In Line - Remastered 2000,72598,x,0
Deep Purple,Prelude: Happiness / I'm so Glad (Medley) - 2000 Remaster,46074,x,0
Deep Purple,Space Truckin' - Remastered 2012,272996,x,0
Deep Purple,Speed King - 1995 Remaster,352760,x,0
Deep Purple,Stormbringer - 2009 Digital Remaster,24903,x,0
Deep Purple,The Gypsy - 2009 Digital Remaster,8389,x,0
Deep Purple,Woman From Tokyo - Remastered 2000,351693,x,0
Derek & The Dominos,Got To Get Better In A Little While - Live At Fillmore East,830666,x,0
Genesis,After The Ordeal - Remastered 2008,255040,x,0
Genesis,Aisle Of Plenty - Remastered 2008,118186,x,0
Genesis,Dancing With The Moonlit Knight - Remastered 2008,483053,x,0
Genesis,Firth Of Fifth - Remastered 2008,574840,x,0
Genesis,Harold The Barrel - Digital Remastered 2008,10128,x,0
Genesis,Home By The Sea - Remastered 2007,307800,x,0
Genesis,Horizons - Digital Remastered 2008,37721,x,0
Genesis,The Cinema Show - Remastered 2008,1238,x,0
Genesis,The Musical Box - Remastered 2008,2610,x,0
Genesis,The Return Of The Giant Hogweed - Digital Remastered 2008,489480,x,0
Genesis,Time Table - Digital Remastered 2008,286360,x,0
Genesis,Turn It On Again - Remastered 2007,232040,x,0
Genesis,White Mountain - Remastered 2008,2271,x,0
Gerd Baumann,Ora et amora,48826,x,0
Gerry Temple,Jam Jar,333855,x,0
Gnawa Diffusion,Besm haq ou l'amour,2105,x,0
Gnawa Diffusion,Ma kayen ghir ennif,96053,x,0
Gnawa Diffusion,Ya malika,2799,x,0
Gong,Captain Capricorns Dream Saloon Radio Gnome Invisible,28983,x,0
Green On Red,This I Know,2925,x,0
Green On Red,We Shall Overcome,1516,x,0
Herbert Grönemeyer,Männer - Remastered 2016,2309,x,0
Isao Tomita,Arabesque No. 1,239600,x,0
Isao Tomita,Children's Corner: No. 4: Snowflakes Are Dancing,132600,x,0
Isao Tomita,Estampes: No. 3: Gardens in the Rain,222506,x,0
Isao Tomita,Preludes: Book I: No. 10: The Engulfed Cathedral,328635,x,0
Isao Tomita,Preludes: Book I: No. 6: Footprints in the Snow,272693,x,0
Jeff Beck,Shapes of Things - 2005 Remaster,10271,x,0
John McLaughlin,Don't Let The Dragon Eat Your Mother,4800,x,0
John McLaughlin,Marbles,253693,x,0
Jon Hassell,Chemistry,414026,x,0
Kaleidoscope,(Love Song) For Annie,154200,x,0
Kaleidoscope,I'll Kiss You Once,57560,x,0
Karine Upli,Luck,33983,x,0
Khaled,C'Est La Nuit - Version Album,44387,x,0
Khaled,Derwiche Tourneur,53292,x,0
Khaled,E'Dir E'Sseba,351866,x,0
Khaled,Melha,367573,x,0
Khaled,"N'Ssi N'Ssi - Live A Bercy 1,2,3 Soleils",2689,x,0
Khaled,Oran Marseille - Oran Mix,307066,x,0
Khaled,Sbabi Ntya,28009,x,0
Khaled,Ya Aachkou,235960,x,0
Kraftwerk,Europa Endlos - 2009 Remaster,5603,x,0
Kraftwerk,Geigerzähler - 2009 Remaster,18563,x,0
Kraftwerk,Radioaktivität - 2009 Remaster,8966,x,0
Kristie DeLuca,Make Me High,1878,x,0
Latte E Miele,Papillon (Overture),67493,x,0
Masayoshi Takanaka,ONCE UPON A SONG,310000,x,0
Masayoshi Takanaka,SEVEN GOBLINS,192000,x,0
Masayoshi Takanaka,THE SUNSET VALLEY,261000,x,0
May Blitz,I Don't Know?,15369,x,0
Mick Jagger,If Things Could Be Different,289466,x,0
